Date,DateTime,Latitude,Longitude,Magnitude,Depth,Location
2023.08.01 00:10:06,2023-08-01 00:10:06,38.1087,36.696,1.5,5.4,KARAOMER-GOKSUN (KAHRAMANMARAS)
2023.08.01 00:21:43,2023-08-01 00:21:43,39.0672,25.916,2.2,3.8,MIDILLI ADASI GUNEYI (EGE DENIZI)
2023.08.01 00:32:32,2023-08-01 00:32:32,38.3823,38.6512,1.9,12.1,KIYICAK-KALE (MALATYA)
2023.08.01 00:53:38,2023-08-01 00:53:38,37.4152,37.1698,3.5,3.9,DOGANLI-PAZARCIK (KAHRAMANMARAS)
2023.08.01 01:12:25,2023-08-01 01:12:25,38.2687,38.5743,1.8,8.6,TANISIK-(MALATYA)
2023.08.01 01:19:48,2023-08-01 01:19:48,36.0873,36.2008,1.9,35.4,KOZKALESI-ALTINOZU (HATAY)
2023.08.01 01:20:24,2023-08-01 01:20:24,37.9908,36.3122,1.3,23.1,KAZANDERE-GOKSUN (KAHRAMANMARAS)
2023.08.01 01:20:25,2023-08-01 01:20:25,37.7135,29.2325,1.3,3.1,KARATEKE-HONAZ (DENIZLI)
2023.08.01 01:27:07,2023-08-01 01:27:07,38.099,36.7525,1.4,7.3,FINDIK-GOKSUN (KAHRAMANMARAS)
2023.08.01 01:35:03,2023-08-01 01:35:03,39.137,25.9618,1.7,6.8,MIDILLI ADASI (EGE DENIZI)
2023.08.01 01:59:59,2023-08-01 01:59:59,37.5727,35.808,0.7,16.8,DUZAGAC-KOZAN (ADANA)
2023.08.01 02:35:33,2023-08-01 02:35:33,38.803,26.6565,2.1,8.6,CANDARLI KORFEZI (EGE DENIZI)
2023.08.01 03:11:20,2023-08-01 03:11:20,38.4087,36.5238,1.0,5.8,TAVLAKOY-SARIZ (KAYSERI)
2023.08.01 03:22:40,2023-08-01 03:22:40,38.3645,37.5357,1.0,13.2,YOGUNSOGUT-ELBISTAN (KAHRAMANMARAS)
2023.08.01 03:24:25,2023-08-01 03:24:25,37.5795,35.7857,1.1,1.1,OZBASI-KOZAN (ADANA)
2023.08.01 03:28:26,2023-08-01 03:28:26,37.223,36.9067,1.6,7.0,NAIMLER-NURDAGI (GAZIANTEP)
2023.08.01 03:43:59,2023-08-01 03:43:59,39.1507,27.7953,1.3,9.5,HAMITLI-KIRKAGAC (MANISA)
2023.08.01 03:54:28,2023-08-01 03:54:28,37.8747,27.1627,1.9,5.0,KUSADASI KORFEZI (EGE DENIZI)
2023.08.01 04:17:48,2023-08-01 04:17:48,37.2567,37.002,1.2,13.9,AKDEMIR-PAZARCIK (KAHRAMANMARAS)
2023.08.01 04:31:52,2023-08-01 04:31:52,38.258,37.2372,1.3,12.3,ELDELEK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 04:34:56,2023-08-01 04:34:56,39.5695,42.7103,1.4,21.8,ASAGIKULECIK-TUTAK (AGRI)
2023.08.01 04:56:45,2023-08-01 04:56:45,37.3338,37.0377,2.1,3.9,EMIROGLU-PAZARCIK (KAHRAMANMARAS)
2023.08.01 05:20:11,2023-08-01 05:20:11,38.1208,37.711,1.8,14.0,ARMUTALAN-ELBISTAN (KAHRAMANMARAS)
2023.08.01 05:22:51,2023-08-01 05:22:51,38.4178,37.346,1.5,9.0,INCECIK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 05:31:05,2023-08-01 05:31:05,38.383,37.36,1.8,4.2,INCECIK-ELBISTAN (KAHRAMANMARAS)
2023.08.01 05:33:15,2023-08-01 05:33:15,38.3567,37.1367,1.5,10.1,KISLAKOY-ELBISTAN (KAHRAMANMARAS)
2023.08.01 05:44:51,2023-08-01 05:44:51,37.8727,27.7087,1.4,3.8,KARABAG-INCIRLIOVA (AYDIN)
2023.08.01 05:57:17,2023-08-01 05:57:17,37.4863,35.7707,1.0,17.4,ORUCLU-KOZAN (ADANA)
2023.08.01 06:10:05,2023-08-01 06:10:05,37.9733,36.4198,1.7,11.4,TASOLUK-GOKSUN (KAHRAMANMARAS)
2023.08.01 06:42:57,2023-08-01 06:42:57,37.5977,37.2483,1.8,3.1,KAZANLIPINAR-(KAHRAMANMARAS)
2023.08.01 06:46:01,2023-08-01 06:46:01,38.5383,37.2713,1.5,5.0,HORHOR-ELBISTAN (KAHRAMANMARAS)
2023.08.01 06:55:10,2023-08-01 06:55:10,38.0995,38.4577,2.3,10.2,KARAKOSE-SINCIK (ADIYAMAN)
2023.08.01 07:08:14,2023-08-01 07:08:14,38.0977,36.6928,1.3,4.4,KARAOMER-GOKSUN (KAHRAMANMARAS)
